Area,Unit,School ID,School,Total,Year
14,3010,609883,Deneen,552,2007
14,7050,610283,Guggenheim,386,2007
14,3800,609971,Harvard,520,2007
14,7250,610299,Hinton,558,2007
14,5540,610140,Johns ,363,2007
14,2330,609805,Joplin,609,2007
14,4270,610019,Kershaw,252,2007
14,7240,610298,Lenart,302,2007
14,7150,610290,Mays,395,2007
14,2200,609793,Nicholson,468,2007
14,5170,610102,Oglesby,663,2007
14,5290,610115,Park Manor,391,2007
14,5270,610112,Parker,591,2007
14,5271,,Parker CPC,96,2007
14,6870,610264,Reed,336,2007
14,5660,610152,Ruggles,439,2007
14,7760,610339,Stagg,555,2007
14,6390,610223,Wentworth,502,2007
14,7260,610300,Westcott,564,2007
14,7080,610285,Woods,576,2007
14,6500,610233,Yale,299,2007
15,3640,609951,Ariel ,431,2007
15,4260,610018,Canter Mid,258,2007
15,2630,609837,Carnegie,672,2007
15,3070,609891,Doolittle,548,2007
15,3071,,Doolittle EC,79,2007
15,6860,610263,Dulles,531,2007
15,6890,610266,Dumas,390,2007
15,6891,,Dumas CPC,40,2007
15,3320,609916,Fermi,326,2007
15,3360,609919,Fiske,428,2007
15,3780,609969,Harte,404,2007
15,4390,610030,Kozminski,459,2007
15,4700,610061,Mayo,523,2007
15,4740,610065,McCosh,858,2007
15,5030,610090,Murray,418,2007
15,5400,610126,Pershing E. Magnet,235,2007
15,2680,610395,Pershing W. Magnet,253,2007
15,6810,610258,Price,299,2007
15,5560,610142,Ray,654,2007
15,5580,610143,Reavis,403,2007
15,6780,610256,Robinson,260,2007
15,5830,610169,Sexton,542,2007
15,5920,610175,Shoesmith,352,2007
15,6300,610213,Wadsworth,340,2007
15,6301,,Wadsworth CPC,23,2007
15,5250,610110,Wells Prep,149,2007
15,3860,609977,Woodlawn,197,2007
16,7100,610287,Ashburn,532,2007
16,2150,609788,Barnard,323,2007
16,2280,609800,Bennett,472,2007
16,2650,609839,Carroll,310,2007
16,2652,,Carroll Annex,244,2007
16,2720,609849,Cassell,322,2007
16,2820,609861,Clissold,637,2007
16,2860,609864,Cook,793,2007
16,4090,610003,Cuffe,803,2007
16,6050,610188,Dunne,517,2007
16,3250,609908,Esmond,490,2007
16,7990,610362,Evers,411,2007
16,3330,609917,Fernwood,436,2007
16,3400,609924,Fort Dearborn,690,2007
16,3430,609927,Foster Park,581,2007
16,5420,610128,"Garvey, M.",520,2007
16,4410,610032,"Green, W.",275,2007
16,3670,609955,Gresham,502,2007
16,8060,610368,"Hughes, L.",427,2007
16,8090,610369,"Jackson, M.",368,2007
16,4960,610084,Keller Magnet,217,2007
16,4240,610016,Kellogg,284,2007
16,4360,610028,Kohn,640,2007
16,6260,610208,Lavizzo,680,2007
16,4830,610072,Morgan,374,2007
16,4940,610082,Mt Greenwood,581,2007
