Area,Unit,School ID,Schools,Total,year
8,6930,610273,Paderewski,232,2008
8,5370,610123,Penn,421,2008
8,5450,610131,Plamondon,226,2008
8,5480,610134,Pope,164,2008
8,6380,610221,Webster,538,2008
9,2010,609771,Abbott,95,2008
9,2070,609777,Armour,225,2008
9,2071,,Armour Br,165,2008
9,5640,610148,Chavez,917,2008
9,2890,609867,Cooper,727,2008
9,3100,609894,Drake,368,2008
9,4160,610009,Galileo,611,2008
9,3540,609940,Gladstone,263,2008
9,3700,609959,Haines,747,2008
9,3880,609979,Healy,822,2008
9,3881,,Healy Br,460,2008
9,4020,609996,Holden,625,2008
9,4690,610060,"Jackson, A.",534,2008
9,5971,,Joyner CPC,63,2008
9,4230,610015,Jungman,328,2008
9,4330,610026,Kinzie,711,2008
9,4710,610062,McClellan,234,2008
9,4810,610071,Medill,139,2008
9,4860,610075,Montefiore,72,2008
9,6480,610231,Natl Teachers Acad,504,2008
9,7610,610329,Orozco,705,2008
9,2930,609872,Perez,532,2008
9,5430,610129,Pickard,634,2008
9,4210,610013,Pilsen,464,2008
9,4920,610081,Sheridan Magnet,519,2008
9,5940,610177,Skinner Classical,601,2008
9,5970,610180,"Smyth, J.",528,2008
9,3960,609990,South Loop,412,2008
9,3961,,South Loop Br,91,2008
9,6320,610216,Walsh,562,2008
9,6330,610217,"Ward, J.",451,2008
9,6450,610228,Whittier,367,2008
9,6490,610232,Williams Multiplex,270,2008
9,7720,610336,Williams Middle,114,2008
10,7470,610317,Brighton Park,876,2008
10,2540,609829,Burroughs,539,2008
10,4320,610024,Cardenas,397,2008
10,4321,,Cardenas Br,229,2008
10,2510,609826,Castellanos,582,2008
10,5860,610170,Columbia Explorers,919,2008
10,2910,609870,Corkery,705,2008
10,2970,609876,"Davis, N.","1,565",2008
10,3630,609950,Ortiz De Dominguez,796,2008
10,7330,610306,De La Cruz,179,2008
10,3260,609909,Everett,368,2008
10,3760,609967,Finkl,449,2008
10,3520,609938,Gary,"1,243",2008
10,3690,609958,Gunsaulus,711,2008
10,3370,609920,Kanoon Magnet,732,2008
10,2590,609834,Little Village,778,2008
10,6310,610215,Madero Mid,349,2008
10,4720,610063,McCormick,938,2008
10,7880,610353,McKinley Park,301,2008
10,5390,610125,Ruiz,"1,005",2008
10,4250,610017,Saucedo,"1,227",2008
10,6010,610184,Spry,841,2008
10,3380,609921,Telpochcalli,244,2008
10,6440,610227,Whitney,"1,061",2008
10,3820,609973,Zapata,939,2008
11,4990,610087,Blair,120,2008
11,2570,609832,Byrne,721,2008
11,2780,609855,Christopher,270,2008
11,2980,609879,Dawes,"1,182",2008
11,3080,609893,Dore,570,2008
11,7870,610352,Durkin Park,481,2008
11,3140,609898,Eberhart,"1,795",2008
11,3200,609903,Edwards,"1,532",2008
11,4660,610057,Fairfield,686,2008
11,3681,,Fleming - Grimes Br,313,2008
11,3680,609956,Grimes,177,2008
11,3710,609960,Hale,880,2008
11,2350,609807,Hampton,751,2008
11,3890,609981,Hearst,686,2008
11,4120,610006,Hurley,941,2008
11,7170,610291,Lee,"1,121",2008
11,4620,610053,Marquette,"1,670",2008
11,4760,610067,McKay,"1,263",2008
11,6410,610404,Midway ,90,2008
11,4880,610077,Morrill,983,2008
11,5090,610096,Nightingale,"1,435",2008
11,5310,610117,Pasteur,"1,400",2008
11,5340,610120,Peck,"1,500",2008
11,6430,610226,Sandoval,"1,279",2008
11,5710,610157,Sawyer,"2,044",2008
11,6030,610185,Stevenson,"1,298",2008
11,7160,610396,Tarkington,"1,079",2008
11,6220,610203,Tonti,"1,094",2008
11,6221,,Tonti Br,240,2008
11,6240,610206,Twain,"1,037",2008
12,5750,610161,Bontemps,431,2008
12,2660,609842,Carson,"1,307",2008
12,7830,610347,Claremont,642,2008
12,2900,609869,Copernicus,384,2008
12,6560,610239,Daley,901,2008
12,7180,610292,"Davis, M.",317,2008
12,3130,609897,Earle,433,2008
12,7490,610319,Evergreen,457,2008
12,3450,609929,Fulton,597,2008
12,3290,609913,Goodlow Magnet,522,2008
12,3650,609952,"Greene, N.",609,2008
12,3740,609964,Hamline,380,2008
12,3741,,Hamline Br,282,2008
12,3742,,Hamline Br EC Ctr,153,2008
12,3900,609983,Hedges,870,2008
12,3904,,Hedges Br,128,2008
12,3920,609986,Henderson,573,2008
12,3980,609993,Lara,598,2008
12,4470,610037,Libby,670,2008
12,5230,610108,O'Toole,727,2008
12,3550,609941,Randolph,698,2008
12,5820,610167,Seward,697,2008
12,5821,,Seward Br,254,2008
12,5910,610174,Shields,"1,843",2008
12,6680,610249,Talman,310,2008
12,6710,610504,Velma Thomas EC Ctr,99,2008
13,2100,609781,Attucks,341,2008
