Area,Unit,School ID,Schools,Totals,year
19,1920,609766,Jacqueline B Vaughn Occupational High School,215,2009
19,2210,610394,Uplift Community High School,558,2009
19,6990,610402,DeVry University Advantage Academy HS,197,2009
19,7650,610377,Senn Achievement Academy High School,71,2009
21,1020,610370,Best Practice High School,238,2009
21,1045,610499,Collins Academy High School,241,2009
21,1060,609678,William Jones College Preparatory High School,739,2009
21,1065,610501,Austin Polytechnical Academy High School,258,2009
21,1090,609680,Walter Payton College Preparatory High School,875,2009
21,1270,609702,Richard T Crane Technical Preparatory HS,666,2009
21,1460,609722,Manley Career Academy High School,"1,058",2009
21,1470,609723,John Marshall Metropolitan High School,"1,205",2009
21,1640,609740,Wells Community Academy High School,681,2009
21,1750,609750,Simpson Academy High School for Young Women,167,2009
21,1810,609755,Whitney M Young Magnet High School,"2,259",2009
21,1840,609759,Roberto Clemente Community Academy High School,"1,858",2009
21,1880,609763,George W Collins High School,151,2009
21,1890,609764,Benito Juarez Community Academy High School,"1,560",2009
21,2120,609783,Nancy B Jefferson Alternative High School,370,2009
21,6620,610244,Michele Clark Academic Prep Magnet High School,"1,013",2009
21,6630,610245,Frederick A Douglass Academy High School,556,2009
21,7660,610378,Crane Achievement Academy High School,350,2009
21,7980,610401,Clemente Achievement Academy High School,218,2009
23,1030,609676,Paul Laurence Dunbar Career Academy High School,"1,545",2009
23,1110,609682,Ellen H Richards Career Academy High School,595,2009
23,1200,609694,John Hancock College Preparatory High School,933,2009
23,1300,609704,David G Farragut Career Academy High School,"2,079",2009
23,1340,609709,Gage Park High School,"1,672",2009
23,1360,609711,William Rainey Harper High School,911,2009
23,1390,609713,Hyde Park Academy High School,"1,969",2009
23,1400,609715,Thomas Kelly High School,"3,155",2009
23,1420,609718,John F Kennedy High School,"1,656",2009
23,1510,609727,Wendell Phillips Academy High School,784,2009
23,1590,609735,Edward Tilden Career Community Academy HS,899,2009
23,1600,609736,Dyett High School,569,2009
23,1670,609741,Gurdon S Hubbard High School,"1,743",2009
23,1710,609746,Kenwood Academy High School,"1,676",2009
23,1730,609748,Consuella B York Alternative High School,309,2009
23,1760,609751,Dr  Martin Luther King  Jr  College Prep HS,900,2009
23,1820,609756,Marie Sklodowska Curie Metropolitan High School,"3,473",2009
23,1940,609768,Hope College Preparatory High School,948,2009
23,1950,609769,Ray Graham Training Center High School,185,2009
23,7110,610391,Robert Lindblom Math & Science Academy HS,654,2009
23,7580,610375,Tilden Achievement Academy High School,213,2009
23,7930,610357,Spry Community Links High School,134,2009
23,7960,609743,Phillips Achievement Academy High School,106,2009
24,1010,609674,Chicago Vocational Career Academy High School,"1,666",2009
24,1150,609692,Neal F Simeon Career Academy High School,"1,612",2009
24,1230,609698,William J Bogan High School,"1,972",2009
24,1310,609705,Christian Fenger Academy High School,"1,196",2009
24,1320,609707,Paul Robeson High School,"1,332",2009
24,1350,609710,John M Harlan Community Academy High School,"1,308",2009
24,1380,609712,Emil G Hirsch Metropolitan High School,832,2009
24,1490,609725,Morgan Park High School,"1,744",2009
24,1500,609726,Gwendolyn Brooks College Preparatory Academy HS,744,2009
24,1630,609739,George Washington High School,"1,460",2009
24,1700,609745,Southside Occupational Academy High School,172,2009
24,1790,609753,Chicago High School for Agricultural Sciences,589,2009
24,1860,609761,George H Corliss High School,"1,032",2009
24,1870,609762,Percy L Julian High School,"1,748",2009
24,1910,609765,Bartholome De Las Casas Occupational High School,82,2009
24,7570,610374,Robeson Achievement Academy High School,187,2009
24,7670,609675,Chicago Vocational Achievement Academy HS,232,2009
24,7970,609706,Fenger Achievement Academy High School,99,2009
25,1123,610386,Peace & Education Coalition High School,103,2009
25,1145,610518,VOISE Academy High School,149,2009
25,1830,610389,Orr Academy High School,"1,185",2009
25,4460,610392,World Language Academy High School,342,2009
25,7200,610380,Daniel Hale Williams Prep School of Medicine,322,2009
25,7220,610296,High School of Technology at South Shore,365,2009
25,7230,610297,High School of Leadership at South Shore,373,2009
25,7270,610381,Bronzeville Scholastic Academy High School,521,2009
25,7280,610301,Big Picture High School at Back of The Yards,25,2009
25,7340,610307,Bowen Environmental Studies High School,313,2009
25,7360,610309,Chicago Discovery Academy High School,422,2009
25,7370,610310,High School of the Arts at South Shore,411,2009
25,7380,610311,Entrepreneurship High School,440,2009
25,7540,610323,New Millennium High School of Health at Bowen,316,2009
25,7550,610324,Bowen Global Visions Academy High School,260,2009
25,7600,610383,Greater Lawndale High School For Social Justice,350,2009
25,7630,610385,Multicultural Arts High School,323,2009
25,7680,610384,Infinity Math Science and Technology High School,340,2009
25,7690,610334,Al Raby High School,538,2009
25,7730,610337,Big Picture High School at Williams Multiplex,19,2009
25,7770,610340,Chicago Academy High School,497,2009
25,8080,610506,TEAM Englewood Community Academy High School,282,2009
26,1085,610502,Marine Military Academy High School,240,2009
26,1800,609754,Chicago Military Academy High School,514,2009
26,1850,609760,George Washington Carver Military Academy HS,504,2009
26,7140,610390,Hyman G Rickover Naval Academy High School,397,2009
26,7310,610304,Phoenix Military Academy High School,385,2009
51,1120,609683,Alternative Learning Community High School,453,2009
51,1125,610388,LINC Alternative High School,533,2009
51,1770,610371,IDOC/Healy South High School,76,2009
52,1105,400058,North Lawndale Charter HS - Howland,405,2009
52,1106,400059,North Lawndale Charter HS - Collins,248,2009
52,1121,609686,Youth Connections Charter School,"3,071",2009
52,1165,400042,Henry Ford Academy: Power House Charter HS,111,2009
52,1720,400008,Acad of Communication & Tech Charter High School,319,2009
52,1930,400051,Noble Street Charter - Noble HS,494,2009
52,1931,400054,Noble Street Charter - Pritzker HS,428,2009
52,1932,400055,Noble Street Charter - Rauner HS,409,2009
52,1933,400056,Noble Street Charter - Rowe Clark HS,279,2009
52,1934,400053,Noble Street Charter - Golder HS,284,2009
52,1935,400052,Noble Street Charter - Comer HS,153,2009
52,1936,400057,Noble Street Charter - UIC HS,182,2009
52,1960,400064,Perspectives Charter-Loop HS,346,2009
52,1961,400061,Perspectives Charter-Calumet HS,364,2009
52,1962,400062,Perspectives Charter-Calumet Technical HS,327,2009
52,1963,400067,Perspectives Charter-Calumet MS,383,2009
52,1964,400066,Perspectives Charter-Math and Science HS,261,2009
52,2035,400012,Amandla Charter High School,103,2009
52,2290,400029,Chicago Intl Charter - Washington Park ES,449,2009
52,2420,400033,Chicago Intl Charter - Longwood HS,"1,480",2009
52,2490,400087,Young Womens Leadership Charter High School,356,2009
52,2600,400075,Univ of Chicago Charter - Donoghue ES,334,2009
52,3060,400076,Univ of Chicago Charter-North Kenwood Oakland ES,310,2009
52,3061,400077,Univ of Chicago Charter - Woodlawn HS,440,2009
52,3062,400078,Univ of Chicago Charter - Woodson South MS,193,2009
52,3180,400031,Chicago Intl Charter - Wrightwood ES,699,2009
52,3340,400084,UNO Charter-Tamayo ES,276,2009
52,3341,400081,UNO Charter ES-de Las Casas,264,2009
52,3342,400082,UNO Charter-Fuentes ES,539,2009
52,3343,400085,UNO Charter-Archer Heights HS,149,2009
52,3344,400079,UNO Charter-Archer Heights North ES,559,2009
52,3345,400080,UNO Charter-Archer Heights South ES,565,2009
52,3346,400089,UNO Charter-Marquez ES,540,2009
52,3500,400017,ASPIRA Charter - Haugan MS,500,2009
52,3990,400019,Bronzeville Lighthouse Charter Elementary School,404,2009
52,4140,400073,Betty Shabazz Charter - DuSable HS,383,2009
52,4150,400069,Polaris Charter Elementary Academy,182,2009
52,4220,400028,Chicago Intl Charter - Prairie ES,416,2009
52,4370,400020,Catalyst Charter Elementary School,331,2009
52,4520,400072,Betty Shabazz Charter - Shabazz ES,297,2009
52,4730,400011,Alain Locke Elementary Charter Academy,507,2009
52,4910,400025,Chicago Intl Charter - Bucktown ES,624,2009
52,4911,400032,Chicago Intl Charter - Ellison HS,447,2009
52,4913,400027,Chicago Intl Charter - Irving Park ES,349,2009
52,4914,400026,Chicago Intl Charter - Friesse ES,568,2009
52,5130,400074,Betty Shabazz Charter - Sizemore ES,202,2009
52,5780,400039,Erie Charter Elementary School,207,2009
52,5810,400083,UNO Charter-Paz ES,472,2009
52,5840,400041,Galapagos Charter Elementary School,314,2009
52,5870,400049,Legacy Charter Elementary School,303,2009
52,6530,400037,Choir Academy Charter ES of Chicago,141,2009
52,6580,400023,Chicago Intl Charter - Avalon South Shore ES,406,2009
52,6700,400071,Providence Englewood Elementary School,399,2009
52,6770,400046,LEARN Charter-North Lawndale I ES,433,2009
52,6775,400048,LEARN Charter-West Garfield ES,146,2009
52,6850,400060,Passages Charter Elementary School,209,2009
52,7030,400086,Urban Prep Academy for Young Men Charter HS,445,2009
52,7120,400030,Chicago Intl Charter - West Belden ES,500,2009
52,7130,400024,Chicago Intl Charter - Basil ES,726,2009
52,7700,400036,Chicago Virtual Charter High School,600,2009
52,7740,400034,Chicago Intl Charter - Northtown HS,808,2009
52,7800,400015,ASPIRA Charter - Ramirez HS,402,2009
52,7803,400013,ASPIRA Charter - Early College HS,374,2009
52,7810,400044,KIPP Ascend Charter Elementary School,325,2009
52,7920,400050,Namaste Charter Elementary School,313,2009
52,7940,400035,Chicago Math & Science Charter High School,483,2009
52,7950,400010,ACE Technical Charter High School,476,2009
53,1135,400070,Prologue Early College High School,201,2009
53,1225,400038,Community Services West High School,105,2009
53,2025,400009,Academy for Global Citizenship Elementary School,89,2009
53,2045,400068,Plato Learning Academy Elementary School,291,2009
53,2055,400045,Kwame Nkrumah Elementary Academy,64,2009
53,4371,400021,Catalyst Elementary School,274,2009
53,6650,400040,Frazier Preparatory Academy Elementary School,437,2009
53,7020,400018,Austin Business and Entrepreneurship Academy HS,392,2009
